"subid","prepost","response","rt","stim1","stim2","task","trial_index","trial_type","time_elapsed","internal_node_id"
"wouter","pre","4","3458.3999998569","stimuli/object_03.png","stimuli/object_01.png","pre_judgment","3","html-slider-response","13841","0.0-2.0-1.0"
"wouter","pre","10","1745.0999999046","stimuli/object_01.png","stimuli/object_04.png","pre_judgment","5","html-slider-response","16589","0.0-2.0-1.1"
"wouter","pre","7","1525.2000000477","stimuli/object_01.png","stimuli/object_02.png","pre_judgment","7","html-slider-response","19117","0.0-2.0-1.2"
"wouter","post","23","8237.2999999523","stimuli/object_10.png","stimuli/object_09.png","post_judgment","46","html-slider-response","326298","0.0-19.0-1.0"
"wouter","post","14","1817.2000000477","stimuli/object_09.png","stimuli/object_08.png","post_judgment","48","html-slider-response","329121","0.0-19.0-1.1"
"wouter","post","70","1898","stimuli/object_10.png","stimuli/object_08.png","post_judgment","50","html-slider-response","332023","0.0-19.0-1.2"
"atabk_test","pre","83","22910.5","stimuli/object_04.png","stimuli/object_01.png","pre_judgment","3","html-slider-response","27582","0.0-2.0-1.0"
"atabk_test","pre","7","3426.5","stimuli/object_02.png","stimuli/object_01.png","pre_judgment","5","html-slider-response","32014","0.0-2.0-1.1"
"atabk_test","pre","6","3798.5","stimuli/object_01.png","stimuli/object_03.png","pre_judgment","7","html-slider-response","36817","0.0-2.0-1.2"
"atabk_full_test","pre","12","4087.5","stimuli/object_01.png","stimuli/object_03.png","pre_judgment","11","html-slider-response","37507","0.0-5.0-1.0"
"atabk_full_test","pre","13","1733.099999994","stimuli/object_01.png","stimuli/object_04.png","pre_judgment","13","html-slider-response","40251","0.0-5.0-1.1"
"atabk_full_test","pre","10","2395.3000000119","stimuli/object_02.png","stimuli/object_01.png","pre_judgment","15","html-slider-response","43652","0.0-5.0-1.2"
"atabk_full_test","pre","16","2788.7000000179","stimuli/object_07.png","stimuli/object_10.png","pre_judgment","11","html-slider-response","24484","0.0-5.0-1.0"
"atabk_full_test","pre","12","1545.900000006","stimuli/object_01.png","stimuli/object_06.png","pre_judgment","13","html-slider-response","27036","0.0-5.0-1.1"
"atabk_full_test","pre","16","1628","stimuli/object_04.png","stimuli/object_01.png","pre_judgment","15","html-slider-response","29668","0.0-5.0-1.2"
"atabk_full_test","pre","19","1872.599999994","stimuli/object_10.png","stimuli/object_06.png","pre_judgment","17","html-slider-response","32548","0.0-5.0-1.3"
"atabk_full_test","pre","11","2422.2999999821","stimuli/object_07.png","stimuli/object_05.png","pre_judgment","19","html-slider-response","35981","0.0-5.0-1.4"
"atabk_full_test","pre","10","2680.6999999881","stimuli/object_02.png","stimuli/object_07.png","pre_judgment","21","html-slider-response","39668","0.0-5.0-1.5"
"atabk_full_test","pre","53","2611.099999994","stimuli/object_06.png","stimuli/object_04.png","pre_judgment","23","html-slider-response","43285","0.0-5.0-1.6"
"atabk_full_test","pre","12","3168","stimuli/object_06.png","stimuli/object_03.png","pre_judgment","25","html-slider-response","47460","0.0-5.0-1.7"
"atabk_full_test","pre","8","2242.8000000119","stimuli/object_03.png","stimuli/object_08.png","pre_judgment","27","html-slider-response","50708","0.0-5.0-1.8"
"atabk_full_test","pre","9","1701","stimuli/object_05.png","stimuli/object_03.png","pre_judgment","29","html-slider-response","53414","0.0-5.0-1.9"
"atabk_full_test","pre","10","1450.5","stimuli/object_01.png","stimuli/object_05.png","pre_judgment","31","html-slider-response","55870","0.0-5.0-1.10"
"atabk_full_test","pre","14","1666.099999994","stimuli/object_09.png","stimuli/object_02.png","pre_judgment","33","html-slider-response","58543","0.0-5.0-1.11"
"atabk_full_test","pre","11","1649.599999994","stimuli/object_04.png","stimuli/object_09.png","pre_judgment","35","html-slider-response","61201","0.0-5.0-1.12"
"atabk_full_test","pre","14","1619.8999999762","stimuli/object_03.png","stimuli/object_01.png","pre_judgment","37","html-slider-response","63826","0.0-5.0-1.13"
"atabk_full_test","pre","14","1821.900000006","stimuli/object_02.png","stimuli/object_10.png","pre_judgment","39","html-slider-response","66657","0.0-5.0-1.14"
"atabk_full_test","pre","4","1579.6999999881","stimuli/object_04.png","stimuli/object_05.png","pre_judgment","41","html-slider-response","69242","0.0-5.0-1.15"
"atabk_full_test","pre","1","1852","stimuli/object_02.png","stimuli/object_08.png","pre_judgment","43","html-slider-response","72099","0.0-5.0-1.16"
"atabk_full_test","pre","1","4714","stimuli/object_08.png","stimuli/object_05.png","pre_judgment","45","html-slider-response","77822","0.0-5.0-1.17"
"atabk_full_test","pre","8","3216","stimuli/object_05.png","stimuli/object_10.png","pre_judgment","47","html-slider-response","82047","0.0-5.0-1.18"
"atabk_full_test","pre","2","1926.2000000179","stimuli/object_08.png","stimuli/object_10.png","pre_judgment","49","html-slider-response","84983","0.0-5.0-1.19"
"atabk_full_test","pre","43","2786.6999999881","stimuli/object_04.png","stimuli/object_02.png","pre_judgment","51","html-slider-response","88777","0.0-5.0-1.20"
"atabk_full_test","pre","3","1504.599999994","stimuli/object_05.png","stimuli/object_02.png","pre_judgment","53","html-slider-response","91290","0.0-5.0-1.21"
"atabk_full_test","pre","94","2020.099999994","stimuli/object_04.png","stimuli/object_03.png","pre_judgment","55","html-slider-response","94314","0.0-5.0-1.22"
"atabk_full_test","pre","5","2452.3999999762","stimuli/object_05.png","stimuli/object_06.png","pre_judgment","57","html-slider-response","97773","0.0-5.0-1.23"
"atabk_full_test","pre","4","2540.099999994","stimuli/object_09.png","stimuli/object_01.png","pre_judgment","59","html-slider-response","101317","0.0-5.0-1.24"
"atabk_full_test","pre","5","1795.7999999821","stimuli/object_01.png","stimuli/object_10.png","pre_judgment","61","html-slider-response","104117","0.0-5.0-1.25"
"atabk_full_test","pre","5","1847.6999999881","stimuli/object_07.png","stimuli/object_01.png","pre_judgment","63","html-slider-response","106974","0.0-5.0-1.26"
"atabk_full_test","pre","5","2368.599999994","stimuli/object_06.png","stimuli/object_02.png","pre_judgment","65","html-slider-response","110351","0.0-5.0-1.27"
"atabk_full_test","pre","4","2436.900000006","stimuli/object_09.png","stimuli/object_10.png","pre_judgment","67","html-slider-response","113793","0.0-5.0-1.28"
"atabk_full_test","pre","4","1756.6999999881","stimuli/object_03.png","stimuli/object_10.png","pre_judgment","69","html-slider-response","116554","0.0-5.0-1.29"
"atabk_full_test","pre","4","2345.5","stimuli/object_06.png","stimuli/object_09.png","pre_judgment","71","html-slider-response","119906","0.0-5.0-1.30"
"atabk_full_test","pre","5","2151","stimuli/object_09.png","stimuli/object_08.png","pre_judgment","73","html-slider-response","123068","0.0-5.0-1.31"
"atabk_full_test","pre","4","1809.7000000179","stimuli/object_07.png","stimuli/object_08.png","pre_judgment","75","html-slider-response","125884","0.0-5.0-1.32"
"atabk_full_test","pre","4","2772.099999994","stimuli/object_03.png","stimuli/object_09.png","pre_judgment","77","html-slider-response","129662","0.0-5.0-1.33"
"atabk_full_test","pre","5","9520.1999999881","stimuli/object_02.png","stimuli/object_01.png","pre_judgment","79","html-slider-response","140191","0.0-5.0-1.34"
"atabk_full_test","pre","3","2522.3999999762","stimuli/object_03.png","stimuli/object_07.png","pre_judgment","81","html-slider-response","143721","0.0-5.0-1.35"
"atabk_full_test","pre","18","2953.6999999881","stimuli/object_04.png","stimuli/object_08.png","pre_judgment","83","html-slider-response","147682","0.0-5.0-1.36"
"atabk_full_test","pre","11","1508.2999999821","stimuli/object_05.png","stimuli/object_09.png","pre_judgment","85","html-slider-response","150194","0.0-5.0-1.37"
"atabk_full_test","pre","72","1482.099999994","stimuli/object_02.png","stimuli/object_03.png","pre_judgment","87","html-slider-response","152683","0.0-5.0-1.38"
"atabk_full_test","pre","15","2480.5","stimuli/object_08.png","stimuli/object_06.png","pre_judgment","89","html-slider-response","156171","0.0-5.0-1.39"
"atabk_full_test","pre","6","1741.5","stimuli/object_04.png","stimuli/object_10.png","pre_judgment","91","html-slider-response","158916","0.0-5.0-1.40"
"atabk_full_test","pre","6","2184.3000000119","stimuli/object_04.png","stimuli/object_07.png","pre_judgment","93","html-slider-response","162110","0.0-5.0-1.41"
"atabk_full_test","pre","12","1831.7999999821","stimuli/object_09.png","stimuli/object_07.png","pre_judgment","95","html-slider-response","164951","0.0-5.0-1.42"
"atabk_full_test","pre","5","1969.2999999821","stimuli/object_08.png","stimuli/object_01.png","pre_judgment","97","html-slider-response","167927","0.0-5.0-1.43"
"atabk_full_test","pre","10","2340.3999999762","stimuli/object_06.png","stimuli/object_07.png","pre_judgment","99","html-slider-response","171273","0.0-5.0-1.44"
"atabk_full_test","post","81","5407.6999999881","stimuli/object_10.png","stimuli/object_07.png","post_judgment","391","html-slider-response","5261868","0.0-22.0-1.0"
"atabk_full_test","post","81","1673.099999994","stimuli/object_01.png","stimuli/object_07.png","post_judgment","393","html-slider-response","5264549","0.0-22.0-1.1"
"atabk_full_test","post","7","2741.599999994","stimuli/object_05.png","stimuli/object_04.png","post_judgment","395","html-slider-response","5268299","0.0-22.0-1.2"
"atabk_full_test","post","58","1722.6000000238","stimuli/object_08.png","stimuli/object_01.png","post_judgment","397","html-slider-response","5271028","0.0-22.0-1.3"
"atabk_full_test","post","69","1482.7000000179","stimuli/object_06.png","stimuli/object_09.png","post_judgment","399","html-slider-response","5273515","0.0-22.0-1.4"
"atabk_full_test","post","68","1882.5","stimuli/object_08.png","stimuli/object_05.png","post_judgment","401","html-slider-response","5276403","0.0-22.0-1.5"
"atabk_full_test","post","71","1871.900000006","stimuli/object_10.png","stimuli/object_02.png","post_judgment","403","html-slider-response","5279283","0.0-22.0-1.6"
"atabk_full_test","post","67","1815.8000000119","stimuli/object_08.png","stimuli/object_03.png","post_judgment","405","html-slider-response","5282106","0.0-22.0-1.7"
"atabk_full_test","post","70","3190","stimuli/object_08.png","stimuli/object_02.png","post_judgment","407","html-slider-response","5286306","0.0-22.0-1.8"
"atabk_full_test","post","66","3989.7999999821","stimuli/object_10.png","stimuli/object_03.png","post_judgment","409","html-slider-response","5291304","0.0-22.0-1.9"
"atabk_full_test","post","17","3241.3999999762","stimuli/object_03.png","stimuli/object_07.png","post_judgment","411","html-slider-response","5295552","0.0-22.0-1.10"
"atabk_full_test","post","8","1734.2999999821","stimuli/object_01.png","stimuli/object_10.png","post_judgment","413","html-slider-response","5298296","0.0-22.0-1.11"
"atabk_full_test","post","4","1498.5","stimuli/object_04.png","stimuli/object_06.png","post_judgment","415","html-slider-response","5300800","0.0-22.0-1.12"
"atabk_full_test","post","5","1455.599999994","stimuli/object_02.png","stimuli/object_04.png","post_judgment","417","html-slider-response","5303261","0.0-22.0-1.13"
